gender,label:de,label:en,label:el,label:el:norm,alternatives,Nom Sg,Gen Sg,Dat Sg,Akk Sg,Voc Sg,nomina insignia,source,note,factgrid,label:lat
f,Chloë,Chloe,Χλόη,χλοη,,Χλόη,Χλοης,,,,,"Bauer,Louw-Naida",im Bauer als Chloe,,
f,Klaudia,Claudia,Κλαυδία,κλαυδια,,Κλαυδία,Κλαυδιας,,,,,"Bauer,Louw-Naida",im Bauer als Claudia,https://database.factgrid.de/entity/Q166583,
m,Klaudius,Claudius,Κλαύδιος,κλαυδιος,,Κλαύδιος,Κλαυδιου,,Κλαύδιον,,,"Bauer,Louw-Naida",im Bauer als Claudius,,
m,Klemens,Clement,Κλήμης,κλημης,,Κλήμης,Κλημεντος,,,,,"Bauer,Louw-Naida",im Bauer als Clemens,,
m,Kornelius,Cornelius,Κορνήλιος,κορνηλιος,"κορνιλιος,κορνιλιως",Κορνήλιος,Κορνηλιου,,,Κορνήλιε,,"Bauer,Louw-Naida",im Bauer als Cornelius,,
m,Kreszens,Crescens,Κρήσκης,κρησκης,Κρίσκης,Κρήσκης,Κρησκεντος,,,,,"Bauer,Louw-Naida",im Bauer als Crescens,,
m,Krispus,Crispus,Κρίσπος,κρισπος,,Κρίσπος,Κρισπου,,Κρίσπον,,,"Bauer,Louw-Naida",im Bauer als Crispus,,
m,Didymus,Didymus,Δίδυμος ,διδυμος,,Δίδυμος,Διδυμου,,,,,"Bauer,Louw-Naida","im Bauer als Didymus,griechischer Name von Thomas,vgl. Joh 11,16; 20,24; 21,2",https://database.factgrid.de/entity/Q166607,
m,Ger,Er,Ἤρ,ηρ,,Ἤρ,Ἢρ,,,,,"Bauer,Louw-Naida",im Bauer als Er,https://database.factgrid.de/entity/Q166608,
f,Evodia,Euodia,Εὐοδία,ευοδια,Εὐωδία,Εὐοδία,Ευοδιας,,,,,Bauer,im Bauer als Euodia,https://database.factgrid.de/entity/Q166609,
m,Issachar,Issachar,Ἰσσαχάρ,ισσαχαρ,"ασαχαρ,Ἰσσάχαρ,Ἰσαχάρ,Ἰσσαχάρης",Ἰσσαχάρ,"Ἰσσαχάρ,Ἰσακχάρου",,,,ισσχαρ ,Bauer,"im Bauer als Isaschar,Genus von Ἰσακχάρου unsicher",,
m,Iskariot,Iscariot,Ἰσκαριώθ,ισκαριωθ,"Ἰσκαριώτης,Σκαριώθ,Σκαριώτης",Ἰσκαριώθ,"Ἰσκαριώθ,Ισκαριωτου",,,,,Bauer,im Bauer als Ischarioth,,
m,Jaïrus,Jairus,Ἰάϊρος,ιαιρος,"Ἰάιρος,Ἰάειρος,Ἰαΐρ,",Ἰάϊρος,Ιαιρου,,,,,"Bauer,Louw-Naida",im Bauer als Jairus,https://database.factgrid.de/entity/Q166627,
m,Jojachin,Jechonjah,Ἰεχονίας,ιεχονιας,,Ἰεχονίας,Ιεχονιου,,,,,"Bauer,Louw-Naida",im Bauer als Jechonja,https://database.factgrid.de/entity/Q166951,
m,Jeftah,Jephthah,Ἰεφθάε,ιεφθαε,"Ἰαφθᾶς,Ἰεφθάς",Ἰεφθάε,"Ἰεφθάε,ιαφθα,ιεφθα",,,,,Bauer,im Bauer als Jephtha,https://database.factgrid.de/entity/Q166952,
m,Johanan,Joanan,Ἰωανάν,ιωαναν,"ιωανναν,Ἰωαννᾶς",Ἰωανάν,Ἰωανάν,Ἰωανάν,,,,"Bauer,Louw-Naida",im Bauer als Jochanan,https://database.factgrid.de/entity/Q166953,
m,Josef,Joseph,Ἰωσήφ,ιωσηφ,"Ἰώσηφος,Ἰώσηπος",Ἰωσήφ,"Ἰωσήφ,Ιωσηπου",Ἰωσήφ,Ἰωσήφ,,"ιηφ,ισηφ ","Bauer,Louw-Naida","im Bauer als Joseph,Ιωσληχ ursprünglich als Alternative notiert – vermutlich falsche Schreibung von Ἰωσήχ ",,
m,Kisch,Kish,Κίς,κις,"Κείς,Κείσαιος,Κεῖσος",Κίς,Κίς,,,,,Bauer,im Bauer als Kis,https://database.factgrid.de/entity/Q166638,
m,Korach,Korah,Κόρε ,κορε,"Κορέ,Κορῆς",Κόρε,"Κόρε,Κορέου",,,,,Bauer,im Bauer als Kora,,
m,Luzius,Lucius,Λούκιος,λουκιος,,Λούκιος,Λουκιου,,,,,"Bauer,Louw-Naida",im Bauer als Lucius,,
m,Mahat,Maath,Μάοθ,μαοθ,"Μαάθ,Μεθ,Μααθ",Μάοθ,Μάοθ,,,,,Bauer ,im Bauer als Maath,,
m,Mahalalel,Mahalaleel,Μαλελεήλ,μαλελεηλ,"Μελελεήλ,Μαλάηλος",Μαλελεήλ,"Μαλελεήλ,Μαλαηλου",,,,,Bauer,im Bauer als Maleleel,,
m,Manaën,Manaen,Μαναήν,μαναην,"Μαναήμ,Μανάημος",Μαναήν,"Μαναήν,Μαναημου",,,,,"Bauer,Louw-Naida",im Bauer als Manahen,https://database.factgrid.de/entity/Q166648,
f,Marta,Martha,Μάρθα,μαρθα,,Μάρθα,Μαρθας,,Μάρθαν,Μάρθα,,"Bauer,Louw-Naida",im Bauer als Martha,https://database.factgrid.de/entity/Q166649,
m,Mattatas,Mattatha,Ματταθά,ματταθα,"Μαθαθα,Μαθθαθα",Ματταθά,Ματταθά,,,,,"Bauer,Louw-Naida",im Bauer als Mattatha,https://database.factgrid.de/entity/Q166650,
m,Mattan,Matthan,Ματθάν,ματθαν,μαθθαν,Ματθάν,Ματθάν,,Ματθάν,,,"Bauer,Louw-Naida",im Bauer als Matthan,,
